symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2024-04-19 05:00:00+00:00,0.1485875,0.1575625,0.14625,0.15663,712523.537162182,56.0,0.1534166679
DOGE/USD,2024-04-20 05:00:00+00:00,0.156444,0.1657575585,0.15090531,0.16312,317436.028246919,45.0,0.1602945713
DOGE/USD,2024-04-21 05:00:00+00:00,0.16315,0.165226,0.155171621,0.16115,13606.702992795,27.0,0.158915817
DOGE/USD,2024-04-22 05:00:00+00:00,0.1610975,0.163459061,0.1572461055,0.1575915,44654.323810366,31.0,0.1605689411
DOGE/USD,2024-04-23 05:00:00+00:00,0.157779,0.16425,0.1569455,0.162845,227774.033611263,22.0,0.161216371
DOGE/USD,2024-04-24 05:00:00+00:00,0.163093,0.16423,0.14832,0.150781902,99035.50726384,36.0,0.1540600691
DOGE/USD,2024-04-25 05:00:00+00:00,0.150876902,0.1544285,0.147474,0.15049,48143.13243987,26.0,0.1514940975
DOGE/USD,2024-04-26 05:00:00+00:00,0.150316,0.1518185,0.1426065,0.1463845,36491.305105808,33.0,0.1477060829
DOGE/USD,2024-04-27 05:00:00+00:00,0.1465595,0.1509,0.143173892,0.149435,18295.007121099,18.0,0.1474473384
DOGE/USD,2024-04-28 05:00:00+00:00,0.1496045,0.1508679605,0.143355,0.144632,17616.495863255,17.0,0.1474767091
DOGE/USD,2024-04-29 05:00:00+00:00,0.14465,0.14599,0.1397215,0.14265,63674.732964557,37.0,0.141859795
DOGE/USD,2024-04-30 05:00:00+00:00,0.142776,0.14314,0.128386728,0.1323065,619336.569038687,86.0,0.1340868458
DOGE/USD,2024-05-01 05:00:00+00:00,0.1324205,0.133093,0.1199505,0.1248510815,180296.297928658,96.0,0.1263762245
DOGE/USD,2024-05-02 05:00:00+00:00,0.1249305815,0.135762,0.124061,0.13385,67658.125793942,36.0,0.1324144107
DOGE/USD,2024-05-03 05:00:00+00:00,0.133799,0.15217,0.1311815,0.1502,56011.27681273,50.0,0.1393975565
DOGE/USD,2024-05-04 05:00:00+00:00,0.150157,0.1697870275,0.149311,0.15908,426264.744828979,72.0,0.15542636
DOGE/USD,2024-05-05 05:00:00+00:00,0.1592495,0.1658644255,0.1586665,0.162915,22764.375906121,23.0,0.1621977236
DOGE/USD,2024-05-06 05:00:00+00:00,0.163071,0.168981,0.153272,0.155985,154626.88641972,56.0,0.1592071108
DOGE/USD,2024-05-07 05:00:00+00:00,0.155735,0.1599,0.148941687,0.150215,178831.699568118,40.0,0.1569605841
DOGE/USD,2024-05-08 05:00:00+00:00,0.150261,0.150755,0.141995,0.14709,93388.627794773,53.0,0.1460120038
DOGE/USD,2024-05-09 05:00:00+00:00,0.147106,0.154115,0.1434782345,0.15143,161338.847009737,68.0,0.1504368003
DOGE/USD,2024-05-10 05:00:00+00:00,0.1514655,0.153898,0.14228,0.144109,347835.971329847,41.0,0.1452677258
DOGE/USD,2024-05-11 05:00:00+00:00,0.1440955,0.14589,0.142555,0.14415,19332.300779332,24.0,0.1438642299
DOGE/USD,2024-05-12 05:00:00+00:00,0.14395,0.1443,0.135990074,0.1369,54526.122170626,29.0,0.1392627246
DOGE/USD,2024-05-13 05:00:00+00:00,0.1369615,0.1572635,0.1366935,0.150265,259540.514152528,64.0,0.152719269
DOGE/USD,2024-05-14 05:00:00+00:00,0.150095,0.155,0.1443528935,0.1457815,26903.901884222,40.0,0.1482940062
DOGE/USD,2024-05-15 05:00:00+00:00,0.14585,0.159106977,0.1453,0.1566025,160707.228511727,44.0,0.151915109
DOGE/USD,2024-05-16 05:00:00+00:00,0.15656,0.15676,0.14875,0.14965,47587.214652877,53.0,0.1521305421
